fecha_semana,codigo_dane,anio,semana_epi,casos_ira_total,edad_promedio,rezago_reporte_dias,periodo_pandemia,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado
2018-06-11,05088,2018,24,2,0.0,7,False,0.5,0.0,0.0,0.5
2018-06-11,05266,2018,24,1,0.0,6,False,1.0,0.0,0.0,0.0
2018-06-11,05664,2018,24,1,0.0,3,False,1.0,0.0,0.0,0.0
2018-06-18,05000,2018,25,1,0.0,5,False,0.0,0.0,1.0,0.0
2018-06-18,05001,2018,25,4,0.0,7,False,0.0,0.0,0.25,0.75
2018-06-18,05079,2018,25,1,0.0,4,False,1.0,0.0,0.0,0.0
2018-06-18,05541,2018,25,1,0.0,26,False,1.0,0.0,0.0,0.0
2018-06-18,05604,2018,25,1,0.0,5,False,0.0,0.0,0.0,1.0
2018-06-18,05854,2018,25,1,0.0,3,False,0.0,0.0,0.0,1.0
2018-06-25,05001,2018,26,7,0.0,9,False,0.2857142857142857,0.0,0.0,0.7142857142857143
2018-06-25,05266,2018,26,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-06-25,05360,2018,26,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-06-25,05579,2018,26,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-06-25,05697,2018,26,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-07-02,05001,2018,27,4,0.0,5,False,0.75,0.0,0.0,0.25
2018-07-02,05088,2018,27,2,0.0,10,False,0.5,0.0,0.0,0.5
2018-07-02,05148,2018,27,1,0.0,7,False,0.0,0.0,0.0,1.0
2018-07-02,05266,2018,27,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-07-02,05604,2018,27,1,0.0,15,False,0.0,0.0,0.0,1.0
2018-07-02,05615,2018,27,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-07-09,05001,2018,28,10,0.0,11,False,0.9,0.0,0.0,0.1
2018-07-09,05088,2018,28,4,0.0,8,False,1.0,0.0,0.0,0.0
2018-07-09,05579,2018,28,1,0.0,3,False,0.0,0.0,0.0,1.0
2018-07-09,05887,2018,28,1,0.0,8,False,0.0,0.0,0.0,1.0
2018-07-16,05001,2018,29,5,0.0,7,False,0.6,0.0,0.0,0.4
2018-07-16,05212,2018,29,1,0.0,22,False,1.0,0.0,0.0,0.0
2018-07-16,05360,2018,29,1,0.0,12,False,1.0,0.0,0.0,0.0
2018-07-16,05364,2018,29,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-07-23,05000,2018,30,2,0.0,12,False,0.5,0.5,0.0,0.0
2018-07-23,05001,2018,30,10,0.0,11,False,0.7,0.1,0.0,0.2
2018-07-23,05148,2018,30,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-07-23,05154,2018,30,1,0.0,8,False,0.0,0.0,0.0,1.0
2018-07-23,05190,2018,30,1,0.0,26,False,0.0,0.0,0.0,1.0
2018-07-23,05310,2018,30,1,0.0,38,False,0.0,0.0,0.0,1.0
2018-07-23,05664,2018,30,1,0.0,17,False,1.0,0.0,0.0,0.0
2018-07-30,05001,2018,31,3,0.0,9,False,1.0,0.0,0.0,0.0
2018-07-30,05088,2018,31,1,0.0,6,False,0.0,0.0,1.0,0.0
2018-07-30,05101,2018,31,1,0.0,18,False,1.0,0.0,0.0,0.0
2018-08-06,05001,2018,32,8,0.0,17,False,0.125,0.0,0.125,0.75
2018-08-06,05686,2018,32,1,0.0,8,False,0.0,0.0,0.0,1.0
2018-08-13,05001,2018,33,4,0.0,15,False,1.0,0.0,0.0,0.0
2018-08-13,05088,2018,33,1,0.0,9,False,0.0,0.0,1.0,0.0
2018-08-13,05440,2018,33,1,0.0,10,False,0.0,0.0,0.0,1.0
2018-08-20,05001,2018,34,4,0.0,6,False,0.25,0.0,0.0,0.75
2018-08-20,05088,2018,34,2,0.0,6,False,0.5,0.5,0.0,0.0
