codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2019,16,20.265,78.427,30.4,851.758,27.937,16.578,IMPUTADO_PA,directo
05001,2019,17,20.518,77.292,35.1,851.69,40.573,24.126,IMPUTADO_PA,directo
05001,2019,18,22.407,64.324,0.0,850.549,54.723,31.246,IMPUTADO_PA,directo
05001,2019,19,20.845,75.451,38.6,851.574,28.115,24.553,IMPUTADO_PA,directo
05001,2019,20,20.026,78.682,73.3,852.001,36.685,13.781,IMPUTADO_PA,directo
05001,2019,21,19.67,81.613,64.3,851.936,32.029,19.361,IMPUTADO_PA,directo
05001,2019,22,19.457,82.327,62.1,852.419,33.9,20.211,IMPUTADO_PA,directo
05001,2019,23,20.989,73.129,37.8,851.965,35.931,27.309,IMPUTADO_PA,directo
05001,2019,24,21.168,74.213,18.4,852.242,27.8,22.129,IMPUTADO_PA,directo
05001,2019,25,22.348,59.165,0.1,851.608,31.545,15.716,IMPUTADO_PA,directo
05001,2019,26,21.652,66.482,3.2,851.004,46.911,22.572,IMPUTADO_PA,directo
05001,2019,27,20.966,68.824,38.1,851.711,41.559,23.351,IMPUTADO_PA,directo
05001,2019,28,20.985,69.167,29.8,851.729,26.783,20.688,IMPUTADO_PA,directo
05001,2019,29,21.875,60.83,10.1,851.404,29.916,18.717,IMPUTADO_PA,directo
05001,2019,30,20.988,67.355,21.4,852.333,29.261,31.804,IMPUTADO_PA,directo
05001,2019,31,21.508,64.693,8.8,851.512,28.705,26.347,IMPUTADO_PA,directo
05001,2019,32,22.545,53.395,0.0,852.419,37.484,26.741,IMPUTADO_PA,directo
05001,2019,33,21.652,61.476,6.1,851.968,34.582,22.137,IMPUTADO_PA,directo
05001,2019,34,22.28,52.794,1.874,852.069,37.901,20.03,IMPUTADO_PA,directo
05001,2019,35,22.217,54.966,3.834,851.249,26.505,20.875,IMPUTADO_PA,directo
05001,2019,36,22.328,58.611,51.072,851.762,36.036,17.394,IMPUTADO_PA,directo
05001,2019,37,22.421,60.291,93.228,851.271,35.951,29.48,IMPUTADO_PA,directo
05001,2019,38,19.658,78.395,72.412,852.301,36.808,22.298,IMPUTADO_PA,directo
05001,2019,39,20.234,74.323,84.449,852.717,36.355,28.325,IMPUTADO_PA,directo
05001,2019,40,19.808,74.012,64.079,851.719,42.401,21.062,IMPUTADO_PA,directo
05001,2019,41,19.936,73.25,33.158,850.552,45.329,24.614,IMPUTADO_PA,directo
05001,2019,42,19.728,74.53,77.337,852.354,26.513,23.575,IMPUTADO_PA,directo
05001,2019,43,19.318,78.911,123.856,851.512,46.114,17.012,IMPUTADO_PA,directo
05001,2019,44,20.32,75.32,99.606,850.954,33.636,30.091,IMPUTADO_PA,directo
05001,2019,45,20.312,76.9,90.394,850.02,44.822,21.179,IMPUTADO_PA,directo
05001,2019,46,19.268,82.193,86.971,851.325,28.761,18.117,IMPUTADO_PA,directo
05001,2019,47,19.33,78.985,179.652,851.596,32.17,25.521,IMPUTADO_PA,directo
05001,2019,48,21.171,72.461,15.971,850.251,33.746,22.778,IMPUTADO_PA,directo
05001,2019,49,20.208,74.135,19.691,851.679,44.454,24.228,IMPUTADO_PA,directo
05001,2019,50,19.788,75.513,65.613,850.989,39.249,23.183,IMPUTADO_PA,directo
05001,2019,51,21.003,73.437,19.577,849.959,34.528,14.127,IMPUTADO_PA,directo
05001,2019,52,21.58,71.317,44.2,850.234,26.552,19.233,IMPUTADO_PA,directo
05001,2020,1,20.113,75.861,30.362,852.305,39.694,15.433,SISAIRE_DIRECTO,directo
05001,2020,2,20.408,62.067,0.0,851.521,42.432,15.71,SISAIRE_DIRECTO,directo
05001,2020,3,22.283,58.61,0.0,850.13,43.914,15.232,SISAIRE_DIRECTO,directo
05001,2020,4,20.119,74.125,74.81,852.48,41.774,16.356,SISAIRE_DIRECTO,directo
05001,2020,5,20.946,69.03,30.737,852.499,46.162,19.591,SISAIRE_DIRECTO,directo
05001,2020,6,21.593,60.648,3.067,851.91,54.96,25.384,SISAIRE_DIRECTO,directo
05001,2020,7,22.2,61.794,11.719,850.425,56.145,26.985,SISAIRE_DIRECTO,directo
05001,2020,8,21.996,65.218,66.928,850.761,48.014,24.179,SISAIRE_DIRECTO,directo
05001,2020,9,21.202,69.242,6.045,852.613,57.349,29.02,SISAIRE_DIRECTO,directo
05001,2020,10,22.291,65.878,2.717,851.541,66.08268,32.49740000000006,SISAIRE_DIRECTO,directo
05001,2020,11,20.877,73.072,58.356,851.831,64.905,32.49740000000006,SISAIRE_DIRECTO,directo
05001,2020,12,20.677,66.525,24.102,852.816,62.961,32.49740000000006,SISAIRE_DIRECTO,directo
05001,2020,13,21.307,64.626,14.557,851.347,60.89,32.49740000000006,SISAIRE_DIRECTO,directo
05001,2020,14,22.622,70.084,17.193,851.058,26.629,16.348,SISAIRE_DIRECTO,directo
05001,2020,15,23.512,66.174,16.224,851.8,17.953,9.581,SISAIRE_DIRECTO,directo
05001,2020,16,21.434,72.132,28.7,853.331,34.646,22.299,SISAIRE_DIRECTO,directo
05001,2020,17,21.92,70.09,5.307,852.564,26.626,14.408,SISAIRE_DIRECTO,directo
05001,2020,18,23.236,66.605,1.909,852.325,27.516,14.697,SISAIRE_DIRECTO,directo
05001,2020,19,24.819,59.667,3.148,851.319,22.865,10.096,SISAIRE_DIRECTO,directo
05001,2020,20,23.539,64.772,3.535,852.135,29.42,13.303,SISAIRE_DIRECTO,directo
05001,2020,21,23.559,64.75,15.329,852.054,31.518,13.879,SISAIRE_DIRECTO,directo
05001,2020,22,21.942,73.94,29.251,852.636,29.913,13.313,SISAIRE_DIRECTO,directo
05001,2020,23,22.179,70.196,4.182,853.039,34.738,14.501,SISAIRE_DIRECTO,directo
05001,2020,24,21.922,70.164,0.728,852.506,34.151,15.271,SISAIRE_DIRECTO,directo
05001,2020,25,21.431,75.14,2.254,852.214,32.309,13.944,SISAIRE_DIRECTO,directo
05001,2020,26,22.361,67.399,1.069,851.278,38.138,16.725,SISAIRE_DIRECTO,directo
05001,2020,27,21.518,73.182,1.376,851.461,33.008,12.88,SISAIRE_DIRECTO,directo
05001,2020,28,21.126,74.515,2.173,852.125,34.811,14.397,SISAIRE_DIRECTO,directo
05001,2020,29,22.684,62.521,1.334,851.327,29.152,10.982,SISAIRE_DIRECTO,directo
05001,2020,30,21.114,74.485,2.478,851.899,26.864,12.024,SISAIRE_DIRECTO,directo
05001,2020,31,22.632,64.06,4.338,851.73,32.236,13.091,SISAIRE_DIRECTO,directo
05001,2020,32,23.714,55.524,0.441,852.142,37.833,17.488,SISAIRE_DIRECTO,directo
05001,2020,33,22.533,68.932,11.477,850.277,35.567,15.589,SISAIRE_DIRECTO,directo
05001,2020,34,21.538,72.213,0.427,852.166,30.57,12.224,SISAIRE_DIRECTO,directo
05001,2020,35,21.289,70.395,0.157,852.193,37.16,14.391,SISAIRE_DIRECTO,directo
05001,2020,36,21.274,71.815,4.556,851.824,39.952,16.346,SISAIRE_DIRECTO,directo
05001,2020,37,21.53,70.323,7.606,851.372,37.778,15.946,SISAIRE_DIRECTO,directo
05001,2020,38,21.172,72.698,0.778,852.624,41.822,19.001,SISAIRE_DIRECTO,directo
05001,2020,39,21.707,71.045,0.004,852.519,36.981,14.472,SISAIRE_DIRECTO,directo
05001,2020,40,20.834,74.486,1.507,851.052,39.064,16.4,SISAIRE_DIRECTO,directo
05001,2020,41,21.179,73.612,0.004,851.951,36.035,16.061,SISAIRE_DIRECTO,directo
05001,2020,42,21.754,69.744,6.502,850.674,37.683,16.008,SISAIRE_DIRECTO,directo
