codigo_dane,anio,semana_epi,fecha_semana,casos_ira_total,tasa_ira_100k,pm25_avg,pm10_avg,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,fuente_pm,pm25_lag1,pm25_lag2,casos_ira_lag1,icv_score,nbi,ipm_pct,icv_hacinamiento,icv_menores_6,icv_seg_social,pct_vivienda_acueducto,icv_paredes,icv_pisos,edad_promedio,rezago_reporte_dias,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado,periodo_pandemia,subregion,poblacion_total,ipt_score,nivel_riesgo
05001,2018,13,2018-03-26,2,0.0824,17.964,37.323,19.541,77.937,157.524,850.682,IMPUTADO_PA,24.948,18.994,2.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,5.0,0.5,0.5,0.0,0.0,False,Valle de Aburrá,2427133.0,34.19,MEDIO
05001,2018,14,2018-04-02,5,0.206,22.028,42.214,19.187,76.613,76.149,851.594,IMPUTADO_PA,17.964,24.948,2.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.6,0.0,0.0,0.4,False,Valle de Aburrá,2427133.0,55.0,MEDIO
05001,2018,15,2018-04-09,6,0.2472,21.522,42.66,19.221,78.798,140.014,852.352,IMPUTADO_PA,22.028,17.964,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.5,0.0,0.1666666666666666,0.3333333333333333,False,Valle de Aburrá,2427133.0,56.71,MEDIO
05001,2018,16,2018-04-16,4,0.1648,28.836,36.953,20.688,71.898,33.08,851.671,IMPUTADO_PA,21.522,22.028,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,11.0,0.75,0.0,0.0,0.25,False,Valle de Aburrá,2427133.0,52.4,MEDIO
05001,2018,17,2018-04-23,4,0.1648,17.609,34.176,19.746,78.378,110.944,852.097,IMPUTADO_PA,28.836,21.522,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.75,0.0,0.0,0.25,False,Valle de Aburrá,2427133.0,37.28,MEDIO
05001,2018,18,2018-04-30,3,0.1236,22.382,47.419,19.594,79.286,97.144,852.241,IMPUTADO_PA,17.609,28.836,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,False,Valle de Aburrá,2427133.0,45.3,MEDIO
05001,2018,19,2018-05-07,6,0.2472,19.294,33.996,18.887,83.052,179.2711199999998,852.981,IMPUTADO_PA,22.382,17.609,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,1.0,0.0,0.0,0.0,False,Valle de Aburrá,2427133.0,52.05,MEDIO
05001,2018,20,2018-05-14,6,0.2472,16.289,44.158,19.369,79.518,174.891,851.62,IMPUTADO_PA,19.294,22.382,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,25.819999999999936,0.8333333333333334,0.0,0.0,0.1666666666666666,False,Valle de Aburrá,2427133.0,26.84,BAJO
05001,2018,21,2018-05-21,2,0.0824,22.92,43.426,20.285,77.199,90.48,851.75,IMPUTADO_PA,16.289,19.294,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,1.0,0.0,0.0,0.0,False,Valle de Aburrá,2427133.0,44.17,MEDIO
05001,2018,22,2018-05-28,12,0.4944,16.961,41.306,20.248,77.331,124.488,851.464,IMPUTADO_PA,22.92,16.289,2.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.5,0.0833333333333333,0.0,0.4166666666666667,False,Valle de Aburrá,2427133.0,63.31,MEDIO
05001,2018,23,2018-06-04,8,0.3296,20.27,41.214,21.702,70.223,1.981,851.172,IMPUTADO_PA,16.961,22.92,12.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.5,0.125,0.0,0.375,False,Valle de Aburrá,2427133.0,58.74,MEDIO
05001,2018,24,2018-06-11,9,0.3708,23.462,41.247,21.073,70.301,40.981,852.302,IMPUTADO_PA,20.27,16.961,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,0.6666666666666666,0.0,0.1111111111111111,0.2222222222222222,False,Valle de Aburrá,2427133.0,69.67,ALTO
05001,2018,25,2018-06-18,4,0.1648,22.648,40.184,20.966,68.205,65.938,852.244,IMPUTADO_PA,23.462,20.27,9.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.0,0.0,0.25,0.75,False,Valle de Aburrá,2427133.0,48.08,MEDIO
05001,2018,26,2018-06-25,7,0.2884,20.999,44.026,19.642,74.077,35.029,851.657,IMPUTADO_PA,22.648,23.462,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,0.2857142857142857,0.0,0.0,0.7142857142857143,False,Valle de Aburrá,2427133.0,58.0,MEDIO
05001,2018,27,2018-07-02,4,0.1648,13.612,37.544,20.839,69.685,45.87,851.012,IMPUTADO_PA,20.999,22.648,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,5.0,0.75,0.0,0.0,0.25,False,Valle de Aburrá,2427133.0,9.45,BAJO
05001,2018,28,2018-07-09,10,0.412,17.786,35.368,21.994,60.287,2.033,851.278,IMPUTADO_PA,13.612,20.999,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,11.0,0.9,0.0,0.0,0.1,False,Valle de Aburrá,2427133.0,62.1,MEDIO
05001,2018,29,2018-07-16,5,0.206,18.612,49.914,21.145,65.176,18.116,851.626,IMPUTADO_PA,17.786,13.612,10.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.6,0.0,0.0,0.4,False,Valle de Aburrá,2427133.0,47.88,MEDIO
05001,2018,30,2018-07-23,10,0.412,16.114,46.323,18.926,75.911,28.7,851.213,IMPUTADO_PA,18.612,17.786,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,11.0,0.7,0.1,0.0,0.2,False,Valle de Aburrá,2427133.0,40.28,MEDIO
05001,2018,31,2018-07-30,3,0.1236,12.657,37.44,18.064,79.463,34.6,850.8,IMPUTADO_PA,16.114,18.612,10.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,9.0,1.0,0.0,0.0,0.0,False,Valle de Aburrá,2427133.0,5.56,BAJO
05001,2018,32,2018-08-06,8,0.3296,20.465,43.719,21.657,54.146,0.033,851.657,IMPUTADO_PA,12.657,16.114,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,17.0,0.125,0.0,0.125,0.75,False,Valle de Aburrá,2427133.0,59.32,MEDIO
05001,2018,33,2018-08-13,4,0.1648,22.785,45.131,20.106,67.142,38.207,852.105,IMPUTADO_PA,20.465,12.657,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,15.0,1.0,0.0,0.0,0.0,False,Valle de Aburrá,2427133.0,48.25,MEDIO
05001,2018,34,2018-08-20,4,0.1648,18.301,36.571,21.934,58.525,9.211,851.534,IMPUTADO_PA,22.785,20.465,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,6.0,0.25,0.0,0.0,0.75,False,Valle de Aburrá,2427133.0,39.56,MEDIO
05001,2018,35,2018-08-27,5,0.206,23.406,38.419,21.441,64.527,28.06,851.183,IMPUTADO_PA,18.301,22.785,4.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.8,0.0,0.0,0.2,False,Valle de Aburrá,2427133.0,56.75,MEDIO
05001,2018,36,2018-09-03,7,0.2884,14.38,31.998,19.648,75.643,167.208,851.484,IMPUTADO_PA,23.406,18.301,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.1428571428571428,False,Valle de Aburrá,2427133.0,23.81,BAJO
05001,2018,37,2018-09-10,11,0.4532,15.887,43.112,19.547,77.711,101.313,851.534,IMPUTADO_PA,14.38,23.406,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.5454545454545454,0.0,0.0,0.4545454545454545,False,Valle de Aburrá,2427133.0,42.09,MEDIO
05001,2018,38,2018-09-17,3,0.1236,20.379,44.43,21.44,67.0,43.509,850.129,IMPUTADO_PA,15.887,14.38,11.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.6666666666666666,0.0,0.0,0.3333333333333333,False,Valle de Aburrá,2427133.0,42.09,MEDIO
05001,2018,39,2018-09-24,6,0.2472,17.969,40.804,20.383,73.146,132.032,850.671,IMPUTADO_PA,20.379,15.887,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,17.0,0.5,0.0,0.0,0.5,False,Valle de Aburrá,2427133.0,48.6,MEDIO
