codigo_dane,anio,poblacion_total
05001,2018,2427133.0
05002,2018,20368.0
05004,2018,2718.0
05021,2018,4642.0
05030,2018,30230.0
05031,2018,25935.0
05034,2018,43265.0
05036,2018,5758.0
05038,2018,11444.0
05040,2018,18317.0
05042,2018,26167.0
05044,2018,7013.0
05045,2018,121014.0
05051,2018,29307.0
05055,2018,7687.0
05059,2018,5142.0
05079,2018,51974.0
05086,2018,5996.0
05088,2018,522259.0
05091,2018,10311.0
05093,2018,15597.0
05101,2018,26118.0
05107,2018,8029.0
05113,2018,9346.0
05120,2018,29014.0
05125,2018,8297.0
05129,2018,79632.0
05134,2018,9211.0
05138,2018,15531.0
05142,2018,4581.0
05145,2018,4758.0
05147,2018,47923.0
05148,2018,59410.0
05150,2018,3957.0
05154,2018,90211.0
05172,2018,57380.0
05190,2018,9778.0
05197,2018,15438.0
05206,2018,4795.0
05209,2018,21367.0
05212,2018,77875.0
05234,2018,23048.0
05237,2018,18914.0
05240,2018,12153.0
05250,2018,51868.0
05264,2018,11154.0
05266,2018,228836.0
05282,2018,24415.0
05284,2018,20742.0
05306,2018,5545.0
05308,2018,51660.0
05310,2018,9761.0
05313,2018,10124.0
05315,2018,6555.0
05318,2018,55110.0
05321,2018,8367.0
05347,2018,5460.0
05353,2018,5471.0
05360,2018,276746.0
05361,2018,27065.0
05364,2018,14520.0
05368,2018,13647.0
05376,2018,64878.0
05380,2018,71567.0
05390,2018,8127.0
05400,2018,21479.0
05411,2018,10023.0
05425,2018,8217.0
05440,2018,64640.0
05467,2018,6662.0
05475,2018,4902.0
05480,2018,13991.0
05483,2018,10154.0
05490,2018,42279.0
05495,2018,25786.0
05501,2018,3118.0
05541,2018,21046.0
05543,2018,8108.0
05576,2018,8660.0
05579,2018,39317.0
05585,2018,14382.0
05591,2018,18052.0
05604,2018,28423.0
05607,2018,23516.0
05615,2018,135473.0
05628,2018,9034.0
05631,2018,82376.0
05642,2018,18267.0
05647,2018,7215.0
05649,2018,16256.0
05652,2018,5648.0
05656,2018,15358.0
05658,2018,3648.0
05659,2018,20085.0
05660,2018,12990.0
05664,2018,21949.0
05665,2018,30934.0
05667,2018,15713.0
05670,2018,21517.0
05674,2018,22084.0
05679,2018,26782.0
05686,2018,36312.0
05690,2018,12393.0
05697,2018,35429.0
05736,2018,37900.0
05756,2018,36327.0
05761,2018,15057.0
05789,2018,16276.0
05790,2018,26960.0
05792,2018,6187.0
05809,2018,10782.0
05819,2018,4993.0
05837,2018,124559.0
05842,2018,6880.0
05847,2018,30136.0
05854,2018,13798.0
05856,2018,6512.0
05858,2018,11817.0
05861,2018,11606.0
05873,2018,9089.0
05885,2018,7606.0
05887,2018,41553.0
05890,2018,22530.0
05893,2018,19043.0
05895,2018,24659.0
05001,2019,2455336.0
05002,2019,20612.0
05004,2019,2745.0
05021,2019,4759.0
05030,2019,30729.0
05031,2019,26501.0
05034,2019,43759.0
05036,2019,5846.0
05038,2019,11687.0
05040,2019,18801.0
05042,2019,26520.0
05044,2019,7162.0
05045,2019,121255.0
05051,2019,29738.0
05055,2019,7798.0
05059,2019,5208.0
05079,2019,55001.0
05086,2019,6072.0
05088,2019,537451.0
05091,2019,10446.0
05093,2019,15929.0
05101,2019,26377.0
05107,2019,8075.0
05113,2019,9682.0
05120,2019,29152.0
05125,2019,8509.0
05129,2019,82011.0
05134,2019,9395.0
05138,2019,15611.0
05142,2019,4569.0
05145,2019,4735.0
05147,2019,48374.0
05148,2019,61076.0
05150,2019,3956.0
05154,2019,91003.0
05172,2019,57144.0
05190,2019,9791.0
05197,2019,15606.0
05206,2019,4874.0
05209,2019,21664.0
05212,2019,80676.0
05234,2019,23418.0
05237,2019,19033.0
05240,2019,12363.0
05250,2019,52651.0
05264,2019,11425.0
05266,2019,235397.0
05282,2019,24869.0
05284,2019,21018.0
05306,2019,5716.0
05308,2019,54202.0
05310,2019,9878.0
05313,2019,10204.0
05315,2019,6662.0
05318,2019,56977.0
05321,2019,8568.0
05347,2019,5415.0
05353,2019,5551.0
05360,2019,283136.0
05361,2019,27640.0
05364,2019,14696.0
05368,2019,13782.0
05376,2019,65950.0
05380,2019,73966.0
05390,2019,8164.0
05400,2019,21871.0
05411,2019,10243.0
05425,2019,8369.0
05440,2019,66120.0
05467,2019,6719.0
05475,2019,5080.0
05480,2019,14048.0
05483,2019,10335.0
05490,2019,42626.0
05495,2019,26385.0
05501,2019,3200.0
05541,2019,21536.0
05543,2019,8257.0
05576,2019,8754.0
05579,2019,39202.0
05585,2019,14651.0
05591,2019,18551.0
05604,2019,29213.0
05607,2019,24136.0
05615,2019,138479.0
05628,2019,9207.0
05631,2019,86724.0
05642,2019,18477.0
05647,2019,7307.0
05649,2019,16423.0
05652,2019,5736.0
05656,2019,15840.0
05658,2019,3698.0
05659,2019,20138.0
05660,2019,13220.0
05664,2019,22073.0
05665,2019,31274.0
05667,2019,15999.0
05670,2019,22122.0
05674,2019,22659.0
05679,2019,27302.0
05686,2019,36987.0
05690,2019,12661.0
05697,2019,36100.0
05736,2019,38046.0
05756,2019,36423.0
05761,2019,15332.0
05789,2019,16426.0
05790,2019,27375.0
05792,2019,6240.0
05809,2019,10941.0
05819,2019,5011.0
05837,2019,126132.0
05842,2019,7023.0
05847,2019,30463.0
05854,2019,14068.0
05856,2019,6553.0
05858,2019,11864.0
05861,2019,11781.0
05873,2019,9488.0
05885,2019,7653.0
05887,2019,41595.0
05890,2019,23072.0
05893,2019,19531.0
05895,2019,25015.0
05001,2020,2489955.0
05002,2020,20878.0
05004,2020,2783.0
05021,2020,4872.0
05030,2020,31279.0
05031,2020,27066.0
05034,2020,44325.0
05036,2020,5944.0
05038,2020,11950.0
05040,2020,19295.0
05042,2020,26905.0
05044,2020,7340.0
05045,2020,121664.0
05051,2020,30210.0
05055,2020,7916.0
05059,2020,5268.0
05079,2020,58353.0
05086,2020,6171.0
05088,2020,553577.0
05091,2020,10604.0
05093,2020,16251.0
05101,2020,26640.0
05107,2020,8149.0
05113,2020,10012.0
05120,2020,29307.0
05125,2020,8705.0
05129,2020,84640.0
05134,2020,9588.0
05138,2020,15760.0
05142,2020,4583.0
05145,2020,4708.0
05147,2020,48862.0
05148,2020,62774.0
05150,2020,3974.0
05154,2020,91873.0
05172,2020,56976.0
05190,2020,9805.0
05197,2020,15823.0
05206,2020,4951.0
05209,2020,21947.0
05212,2020,83697.0
05234,2020,23829.0
05237,2020,19233.0
05240,2020,12545.0
05250,2020,53491.0
05264,2020,11728.0
05266,2020,242371.0
05282,2020,25367.0
05284,2020,21283.0
05306,2020,5875.0
05308,2020,56990.0
05310,2020,10010.0
05313,2020,10299.0
05315,2020,6786.0
05318,2020,58930.0
05321,2020,8786.0
05347,2020,5393.0
05353,2020,5634.0
05360,2020,290182.0
05361,2020,28276.0
05364,2020,14904.0
05368,2020,13940.0
05376,2020,67103.0
05380,2020,76614.0
05390,2020,8212.0
05400,2020,22306.0
05411,2020,10470.0
05425,2020,8522.0
05440,2020,67645.0
05467,2020,6764.0
05475,2020,5268.0
05480,2020,14093.0
05483,2020,10543.0
05490,2020,43061.0
05495,2020,27004.0
05501,2020,3290.0
05541,2020,22036.0
05543,2020,8421.0
05576,2020,8861.0
05579,2020,39144.0
05585,2020,14934.0
05591,2020,19074.0
05604,2020,30056.0
05607,2020,24807.0
05615,2020,141638.0
05628,2020,9422.0
05631,2020,91288.0
05642,2020,18723.0
05647,2020,7374.0
05649,2020,16629.0
05652,2020,5817.0
05656,2020,16344.0
05658,2020,3771.0
05659,2020,20239.0
05660,2020,13475.0
05664,2020,22221.0
05665,2020,31625.0
05667,2020,16305.0
05670,2020,22742.0
05674,2020,23262.0
05679,2020,27834.0
05686,2020,37680.0
05690,2020,12949.0
05697,2020,36839.0
05736,2020,38217.0
05756,2020,36598.0
05761,2020,15636.0
05789,2020,16585.0
05790,2020,27804.0
05792,2020,6316.0
05809,2020,11090.0
05819,2020,5026.0
05837,2020,127888.0
05842,2020,7138.0
05847,2020,30834.0
05854,2020,14361.0
05856,2020,6597.0
05858,2020,11921.0
05861,2020,11957.0
05873,2020,9915.0
05885,2020,7736.0
05887,2020,41708.0
05890,2020,23637.0
05893,2020,20037.0
05895,2020,25434.0
05001,2021,2507620.0
05002,2021,20962.0
05004,2021,2797.0
05021,2021,4962.0
05030,2021,31668.0
05031,2021,27516.0
05034,2021,44621.0
05036,2021,5999.0
05038,2021,12064.0
05040,2021,19662.0
05042,2021,27275.0
05044,2021,7421.0
05045,2021,122772.0
05051,2021,30559.0
05055,2021,7972.0
05059,2021,5286.0
05079,2021,59570.0
05086,2021,6175.0
05088,2021,565630.0
05091,2021,10661.0
05093,2021,16416.0
05101,2021,26886.0
05107,2021,8139.0
05113,2021,10234.0
05120,2021,29325.0
05125,2021,8785.0
05129,2021,85841.0
05134,2021,9670.0
05138,2021,15717.0
05142,2021,4591.0
05145,2021,4684.0
05147,2021,49435.0
05148,2021,64353.0
05150,2021,3980.0
05154,2021,92469.0
05172,2021,57121.0
05190,2021,9892.0
05197,2021,15902.0
05206,2021,4998.0
05209,2021,22039.0
05212,2021,85434.0
05234,2021,24060.0
05237,2021,19395.0
05240,2021,12564.0
05250,2021,54125.0
05264,2021,11968.0
05266,2021,247649.0
05282,2021,25609.0
05284,2021,21426.0
05306,2021,5993.0
05308,2021,58069.0
05310,2021,10089.0
05313,2021,10356.0
05315,2021,6835.0
05318,2021,60291.0
05321,2021,8991.0
05347,2021,5338.0
05353,2021,5699.0
05360,2021,294137.0
05361,2021,28547.0
05364,2021,15038.0
05368,2021,14065.0
05376,2021,68622.0
05380,2021,78211.0
05390,2021,8337.0
05400,2021,22702.0
05411,2021,10568.0
05425,2021,8611.0
05440,2021,69257.0
05467,2021,6719.0
05475,2021,5397.0
05480,2021,14054.0
05483,2021,10648.0
05490,2021,42976.0
05495,2021,27525.0
05501,2021,3333.0
05541,2021,22454.0
05543,2021,8510.0
05576,2021,8909.0
05579,2021,39297.0
05585,2021,15076.0
05591,2021,19310.0
05604,2021,30674.0
05607,2021,25360.0
05615,2021,144612.0
05628,2021,9507.0
05631,2021,94754.0
05642,2021,18784.0
05647,2021,7392.0
05649,2021,16720.0
05652,2021,5874.0
05656,2021,16777.0
05658,2021,3818.0
05659,2021,20197.0
05660,2021,13691.0
05664,2021,22298.0
05665,2021,31876.0
05667,2021,16585.0
05670,2021,23116.0
05674,2021,23578.0
05679,2021,28206.0
05686,2021,38277.0
05690,2021,13084.0
05697,2021,37602.0
05736,2021,38568.0
05756,2021,36558.0
05761,2021,15845.0
05789,2021,16624.0
05790,2021,28134.0
05792,2021,6388.0
05809,2021,11217.0
05819,2021,4993.0
05837,2021,128586.0
05842,2021,7215.0
05847,2021,31123.0
05854,2021,14497.0
05856,2021,6632.0
05858,2021,12019.0
05861,2021,12071.0
05873,2021,10239.0
05885,2021,7744.0
05887,2021,41888.0
05890,2021,23951.0
05893,2021,20471.0
05895,2021,25732.0
05001,2022,2514709.0
05002,2022,21000.0
05004,2022,2792.0
05021,2022,5042.0
05030,2022,31974.0
05031,2022,27923.0
05034,2022,44816.0
05036,2022,6035.0
05038,2022,12153.0
05040,2022,20007.0
05042,2022,27582.0
05044,2022,7473.0
05045,2022,123578.0
05051,2022,30853.0
05055,2022,8030.0
05059,2022,5295.0
05079,2022,60571.0
05086,2022,6163.0
05088,2022,575253.0
05091,2022,10683.0
05093,2022,16529.0
05101,2022,27076.0
05107,2022,8078.0
05113,2022,10427.0
05120,2022,29297.0
05125,2022,8867.0
05129,2022,86699.0
05134,2022,9743.0
05138,2022,15648.0
05142,2022,4568.0
05145,2022,4641.0
05147,2022,49891.0
05148,2022,65742.0
05150,2022,3972.0
05154,2022,92890.0
05172,2022,57122.0
05190,2022,9984.0
05197,2022,15940.0
05206,2022,5034.0
05209,2022,22055.0
05212,2022,86835.0
05234,2022,24231.0
05237,2022,19509.0
05240,2022,12581.0
05250,2022,54698.0
05264,2022,12150.0
05266,2022,251963.0
05282,2022,25788.0
05284,2022,21535.0
05306,2022,6100.0
05308,2022,58919.0
05310,2022,10181.0
05313,2022,10397.0
05315,2022,6869.0
05318,2022,61496.0
05321,2022,9203.0
05347,2022,5253.0
05353,2022,5765.0
05360,2022,296908.0
05361,2022,28755.0
05364,2022,15138.0
05368,2022,14165.0
05376,2022,69976.0
05380,2022,79499.0
05390,2022,8438.0
05400,2022,23067.0
05411,2022,10616.0
05425,2022,8673.0
05440,2022,70655.0
05467,2022,6665.0
05475,2022,5508.0
05480,2022,13960.0
05483,2022,10711.0
05490,2022,42809.0
05495,2022,28007.0
05501,2022,3351.0
05541,2022,22821.0
05543,2022,8555.0
05576,2022,8956.0
05579,2022,39342.0
05585,2022,15209.0
05591,2022,19498.0
05604,2022,31245.0
05607,2022,25853.0
05615,2022,147196.0
05628,2022,9621.0
05631,2022,97831.0
05642,2022,18831.0
05647,2022,7393.0
05649,2022,16776.0
05652,2022,5910.0
05656,2022,17154.0
05658,2022,3888.0
05659,2022,20155.0
05660,2022,13882.0
05664,2022,22298.0
05665,2022,32053.0
05667,2022,16791.0
05670,2022,23460.0
05674,2022,23860.0
05679,2022,28534.0
05686,2022,38798.0
05690,2022,13164.0
05697,2022,38269.0
05736,2022,38842.0
05756,2022,36411.0
05761,2022,16013.0
05789,2022,16650.0
05790,2022,28448.0
05792,2022,6423.0
05809,2022,11286.0
05819,2022,4955.0
05837,2022,128982.0
05842,2022,7283.0
05847,2022,31345.0
05854,2022,14611.0
05856,2022,6656.0
05858,2022,12077.0
05861,2022,12154.0
05873,2022,10528.0
05885,2022,7734.0
05887,2022,41931.0
05890,2022,24197.0
05893,2022,20861.0
05895,2022,26010.0
05001,2023,2518480.0
05002,2023,21030.0
05004,2023,2782.0
05021,2023,5130.0
05030,2023,32238.0
05031,2023,28334.0
05034,2023,44976.0
05036,2023,6096.0
05038,2023,12256.0
05040,2023,20320.0
05042,2023,27882.0
05044,2023,7543.0
05045,2023,124339.0
05051,2023,31150.0
05055,2023,8099.0
05059,2023,5286.0
05079,2023,61506.0
05086,2023,6149.0
05088,2023,584062.0
05091,2023,10686.0
05093,2023,16667.0
05101,2023,27252.0
05107,2023,8041.0
05113,2023,10605.0
05120,2023,29240.0
05125,2023,8920.0
05129,2023,87460.0
05134,2023,9811.0
05138,2023,15570.0
05142,2023,4541.0
05145,2023,4590.0
05147,2023,50303.0
05148,2023,67061.0
05150,2023,3976.0
05154,2023,93262.0
05172,2023,57067.0
05190,2023,10033.0
05197,2023,15981.0
05206,2023,5052.0
05209,2023,22061.0
05212,2023,88121.0
05234,2023,24409.0
05237,2023,19621.0
05240,2023,12553.0
05250,2023,55234.0
05264,2023,12348.0
05266,2023,256042.0
05282,2023,25957.0
05284,2023,21588.0
05306,2023,6189.0
05308,2023,59708.0
05310,2023,10215.0
05313,2023,10442.0
05315,2023,6914.0
05318,2023,62651.0
05321,2023,9368.0
05347,2023,5175.0
05353,2023,5818.0
05360,2023,299320.0
05361,2023,28961.0
05364,2023,15227.0
05368,2023,14215.0
05376,2023,71255.0
05380,2023,80676.0
05390,2023,8520.0
05400,2023,23399.0
05411,2023,10675.0
05425,2023,8725.0
05440,2023,71999.0
05467,2023,6608.0
05475,2023,5636.0
05480,2023,13895.0
05483,2023,10787.0
05490,2023,42628.0
05495,2023,28513.0
05501,2023,3367.0
05541,2023,23147.0
05543,2023,8617.0
05576,2023,8983.0
05579,2023,39383.0
05585,2023,15293.0
05591,2023,19661.0
05604,2023,31804.0
05607,2023,26306.0
05615,2023,149627.0
05628,2023,9692.0
05631,2023,100767.0
05642,2023,18844.0
05647,2023,7389.0
05649,2023,16827.0
05652,2023,5960.0
05656,2023,17549.0
05658,2023,3924.0
05659,2023,20094.0
05660,2023,14066.0
05664,2023,22311.0
05665,2023,32182.0
05667,2023,16982.0
05670,2023,23768.0
05674,2023,24116.0
05679,2023,28829.0
05686,2023,39288.0
05690,2023,13254.0
05697,2023,38877.0
05736,2023,39062.0
05756,2023,36248.0
05761,2023,16164.0
05789,2023,16637.0
05790,2023,28729.0
05792,2023,6470.0
05809,2023,11348.0
05819,2023,4905.0
05837,2023,129280.0
05842,2023,7345.0
