codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2018,47,2018-11-19,ALERTA_NARANJA,7.3,36.88,casos_ira_total,5.333333333333333,1.8390979766845703
05001,2018,48,2018-11-26,ALERTA_VERDE,7.21,20.17,casos_ira_total,6.0,1.9363903999328613
05001,2018,49,2018-12-03,ALERTA_ROJA,8.1,73.57,casos_ira_lag1,4.666666666666667,2.817552328109741
05001,2018,50,2018-12-10,ALERTA_VERDE,8.13,8.4,casos_ira_lag1,7.5,1.7058165073394775
05001,2018,51,2018-12-17,ALERTA_VERDE,6.81,7.53,casos_ira_total,6.333333333333333,1.7123608589172363
05001,2018,52,2018-12-24,ALERTA_VERDE,7.69,-9.53,casos_ira_total,8.5,1.5422053337097168
05001,2019,1,2018-12-31,ALERTA_VERDE,7.44,-17.33,casos_ira_total,9.0,1.5706177949905396
05001,2019,2,2019-01-07,ALERTA_VERDE,8.21,7.09,casos_ira_lag1,7.666666666666667,1.6166630983352661
05001,2019,3,2019-01-14,ALERTA_VERDE,4.23,-29.5,casos_ira_total,6.0,1.5568785667419434
05001,2019,4,2019-01-21,ALERTA_VERDE,5.36,14.86,casos_ira_lag1,4.666666666666667,2.0526673793792725
05001,2019,5,2019-01-28,ALERTA_NARANJA,7.72,54.4,casos_ira_total,5.0,2.2373130321502686
05001,2019,6,2019-02-04,ALERTA_VERDE,8.22,7.22,casos_ira_total,7.666666666666667,1.9091756343841553
05001,2019,7,2019-02-11,ALERTA_NARANJA,7.62,34.47,casos_ira_lag1,5.666666666666667,2.7921276092529297
05001,2019,8,2019-02-18,ALERTA_NARANJA,7.43,31.12,casos_ira_lag1,5.666666666666667,2.1642985343933105
05001,2019,9,2019-02-25,ALERTA_VERDE,5.96,-18.73,casos_ira_total,7.333333333333333,1.8618314266204834
05001,2019,10,2019-03-04,ALERTA_VERDE,9.28,-0.57,casos_ira_lag1,9.333333333333334,1.9270292520523071
05001,2019,11,2019-03-11,ALERTA_VERDE,8.04,26.95,casos_ira_total,6.333333333333333,2.0590882301330566
